Player,Lvl,Frn,Pos,%,Age,Durability,Health,Contact,Power,LH,RH,BattingEye,BaseRunning,Speed,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,$,team,teamid,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xOPS,pcR,RLR,pos_adj,xWAR
Adeiny Torres,AA,ALB,C,100,25,78,87,51,66,40,50,36,33,33,3,18,61,57,48,$54K  53750,Albuquerque Gladiators,2815,0.2564126666666668,0.29310733333333316,0.4220258888888888,476.1233333333333,868.225098490715,0.6613458177121592,91.95587394346512,87.59793123994976,-7.2886018769470615,-3.781334075740141,-0.4898348642520892,-3.97540208700155,-1.7575631910782417,0.715133222222222,-2.9929037617254197,15.870777777777775,4.466178490178575,0.23168681366640628
Al Olivo,AAA,ALB,C,100,30,62,60,68,70,74,41,58,35,22,3,21,58,51,66,$67K  67000,Albuquerque Gladiators,2815,0.2673601666666668,0.3363823333333334,0.4564955555555554,418.2198333333334,758.594782948494,0.8962607078274156,108.1938995358301,93.62596691929322,0.873026011132349,-6.412976693516786,-0.05959484248328231,-6.163603932079762,-3.5339445655473605,0.7928778888888888,1.588117820126929,13.940661111111112,3.902236537800895,0.778848703998208
Albert Limon,RL,ALB,CF,100,21,72,81,69,0,18,7,28,65,83,73,66,46,54,21,$8K  7650,Albuquerque Gladiators,2815,0.22764366666666683,0.2905549999999997,0.26775416666666674,511.7775,784.1509294509888,0.9601739380149913,32.78902843292597,45.071265076672425,-70.63558806942387,3.86143902290355,-0.26983675143673375,0.5359130671526073,-0.013025035632956754,0.5583091666666664,0.0,17.05925,1.3445660655881153,-4.821218335166009
Alex Aguilera,AA,ALB,SS,100,24,89,65,67,3,35,38,23,37,28,72,68,84,72,15,$38K  37500,Albuquerque Gladiators,2815,0.23230333333333333,0.28478300000000006,0.24958000000000008,440.6175,925.387039065361,0.9640324329433012,45.96096357828769,45.123494908138944,-53.47361198379102,-6.345054473570753,0.5458159051287225,5.872727348102287,0.01799489504878753,0.5343630000000001,0.0,14.68725,4.760221394369141,-3.4770912949704025
Alex Andujar,AA,ALB,2B,100,20,68,55,81,0,58,45,71,86,94,80,66,45,60,2,$38K  37500,Albuquerque Gladiators,2815,0.2619391666666667,0.34047988095238096,0.2863600000000001,470.61339743589747,821.8609858751297,0.9671770710292348,61.87583159505158,74.80131807870444,-29.13629502435704,11.143274755897648,1.5366970109451497,3.0447969888114965,-0.004142085086635594,0.6268398809523811,0.0,15.687113247863248,1.4092266561644886,0.2165080976042446
Alex Velazquez,AA,ALB,1B,100,26,91,83,21,79,58,44,81,22,9,25,30,32,33,12,$54K  53750,Albuquerque Gladiators,2815,0.2628333333333333,0.32308,0.45442166666666645,494.4875,1001.4929286241531,0.7311392024811987,103.30254713431842,93.0437301666379,0.37720959781491764,-5.066596391701632,-0.2916999419975595,-0.8250472670627258,0.061200331007129675,0.7775016666666664,0.0,16.482916666666668,-8.586187659672094,0.24011086774645893
Angel Bennett,RL,ALB,C,100,21,65,81,39,0,29,42,42,47,27,14,31,76,67,68,$8K  7650,Albuquerque Gladiators,2815,0.23680000000000004,0.29591166666666663,0.23370000000000007,430.34333333333336,683.8782539963722,0.9997747723956102,42.5272981887616,39.32614785318833,-49.706130485346904,-4.801465335294607,-1.2818255971460926,0.1521817478990557,0.19907731423394165,0.5296116666666667,1.8527133571539218,14.344777777777779,3.5178922530677585,-3.4913593886791663
Arthur Walker,AAA,ALB,SS,100,30,73,83,54,45,35,10,38,74,87,88,86,87,88,20,$76K  76000,Albuquerque Gladiators,2815,0.21997933333333322,0.277899261904762,0.2960456666666665,488.7366666666666,875.6418545246124,0.9734904650970307,58.23842121635358,67.170411682867,-35.09215843224387,5.741535355819683,3.3031105497457443,6.410306955010221,0.0019238498022116338,0.5739449285714284,0.0,16.29122222222222,4.504330527389982,-0.21617012417755702
Artie Gilmore,HiA,ALB,LF,100,25,75,92,34,41,34,35,42,16,48,58,52,67,62,6,$55K  54500,Albuquerque Gladiators,2815,0.22884642857142865,0.27782624999999994,0.33408400000000005,474.04166666666663,868.9853073358536,0.9249484920417288,62.3033995753875,62.46298519832374,-31.38232097024702,-3.6954024799657605,-0.43448396055966504,-0.26128265769047115,0.4459279753667105,0.61191025,0.0,15.801388888888887,-4.470089029505419,-2.4197302645098078
Aubrey Little,HiA,ALB,DH,100,21,74,55,32,47,68,47,68,15,18,5,23,57,54,51,$27K  26250,Albuquerque Gladiators,2815,0.2690750000000003,0.3164391666666667,0.39697466666666664,454.0916666666667,806.9629090428352,0.6653753476152487,81.83895812194872,72.09482490287597,-21.17521912561607,-4.237327527680201,-0.23086187572653177,0.0,-3.0096096250470326,0.7134138333333333,0.0,15.13638888888889,-11.069450055457272,-2.151418078904072
Blade Burns,AA,ALB,SS,100,25,87,72,37,14,18,21,23,49,36,88,77,89,84,5,$38K  37500,Albuquerque Gladiators,2815,0.2148816666666667,0.26813166666666677,0.2284,465.51,890.3099439144135,0.9709322655421301,29.891470019231605,34.10795237658051,-48.551677429346,-4.016542476548069,1.0475528759771398,2.6035680899424456,0.0035972349099627136,0.49653166666666676,0.0,15.517000000000001,4.57978366211118,-3.0103744089543083
Buddy Welker,HiA,ALB,LF,100,24,93,61,52,54,40,58,42,34,59,68,59,39,51,0,$27K  26250,Albuquerque Gladiators,2815,0.25916116666666666,0.3081248333333332,0.42475066666666655,493.6953333333334,1036.3185147047043,0.9521373214766602,81.85399888367088,69.154794566954,-21.532274591497853,-4.9581385221306515,0.2501682453086524,0.9254599119463341,-0.0093774525720268,0.7328754999999998,0.0,16.456511111111112,-5.3308565571229645,-1.4553330324205787
Chris Swift,AA,ALB,SS,100,23,78,54,51,0,18,32,53,74,16,81,79,81,75,15,$38K  37500,Albuquerque Gladiators,2815,0.2356650000000001,0.30202233333333345,0.26121500000000014,464.19666666666666,822.3370656967163,0.9781685098250605,46.767345565940225,39.835458996985004,-45.91387827813702,-7.569052628684974,0.527081603426179,0.9472333363465223,-0.009645419218738505,0.5632373333333336,0.0,15.473222222222223,4.230128938769116,-3.3091633761054102
Clarence Rizzo,ML,ALB,3B,100,26,93,99,84,60,64,67,75,68,84,80,82,75,90,10,$8.3M  8335000,Albuquerque Gladiators,2815,0.2838599999999997,0.3591899999999996,0.45806750000000074,684.24,1167.9292145967484,0.973762749769043,106.27039436884043,102.57131632034051,5.249420435970493,2.232147408785945,3.9794391555969035,7.501054322388387,0.03437527955214203,0.8172575000000004,0.0,22.808,2.002622110076729,4.010750402552992
Cliff Ledee,ML,ALB,2B,100,24,93,99,75,34,80,57,59,73,87,90,75,64,65,2,$360K  360000,Albuquerque Gladiators,2815,0.29175499999999965,0.34781999999999946,0.38359000000000043,417.0,1114.7766993045807,0.9650870527386,91.10106930924438,92.64095780659838,-8.245054958433666,6.024689376345926,3.092817234402751,7.353244307454305,0.0076740297370273295,0.7314099999999999,0.0,13.899999999999999,1.91148268056341,2.1109765606151836
