Rank,Player,Pos,Bats,Throws,Age,Durability,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,OVR,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,Health,Speed,Patience,Temper,Makeup,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
67,"Andrews, Jim",P,R,R,20,25,60,95,56,56,12,53,81,69,46,16,0,65,34,34,8,97,17,99,21,40,45,62,101.94700000000006,0.33055383333333344,0.48412966666666646,1.4182866666666663,2.4575999999999993,4.431435536749592,0.15216173556189988,0.6312425421125488,0.8146834999999999
157,"Andrews, Roman",P,R,R,20,33,84,84,14,38,31,55,70,55,61,34,15,56,12,50,26,62,5,100,31,74,21,90,138.79100000000014,0.35058999999999985,0.49241509523809535,1.5927349999999998,2.392466666666668,4.95784405387916,0.3505592091459803,0.1888795941331643,0.8430050952380952
417,"Ashley, Philip",P,S,L,21,53,38,46,8,10,42,55,37,58,33,0,0,35,28,31,53,21,19,78,26,79,27,74,122.71800000000017,0.3982491428571431,0.5765700000000004,1.9192166666666668,1.609725,5.896002576247992,-0.24142279484211204,-1.4344225040423444,0.9748191428571434
309,"Ayala, Jeimer",P,L,L,19,66,18,66,55,51,39,1,80,69,53,0,0,47,36,60,35,29,26,64,24,80,39,57,51.12033333333332,0.34296785714285716,0.4485092857142859,1.5651588095238094,1.72528,5.391640175327881,-0.34024411334616433,-0.8458931480841859,0.791477142857143
136,"Baez, Paulo",P,R,R,21,39,74,53,35,55,94,28,71,56,60,20,0,58,72,56,98,2,0,39,40,55,27,91,114.83819047619058,0.3707433333333334,0.47584,1.7532033333333328,2.278,5.156191335635726,0.22843162823573807,-1.2416732757581328,0.8465833333333335
393,"Baldelli, Eddie",P,R,R,21,43,30,90,15,14,26,65,58,46,36,0,0,40,16,66,31,68,6,47,43,52,34,81,73.67899999999999,0.36242900000000006,0.5975600000000005,1.650169999999999,3.25722,5.013940583522361,-0.32179250759663974,-0.3835335975580719,0.9599890000000006
412,"Ball, Tom",P,S,R,18,33,18,29,31,33,66,67,64,67,37,0,0,34,33,19,81,56,11,61,25,46,46,64,53.08799999999997,0.4202300000000003,0.5053366666666668,1.995191666666666,0.7712999999999998,6.507024985156115,-0.5660496745803575,-1.3003987913592976,0.9255666666666671
312,"Bannister, Bradin",P,R,R,22,24,64,64,35,24,46,53,61,38,37,28,0,47,55,48,16,36,37,70,31,35,20,94,105.77833333333346,0.3811199999999998,0.5951000000000003,1.8371866666666656,1.7414250000000007,5.834856937106447,-0.635445726207712,-1.4964084591463427,0.9762200000000001
70,"Bauer, Brandon",P,S,R,22,36,93,99,23,32,81,54,76,64,63,40,0,65,17,41,93,26,0,85,28,66,13,95,164.36841666666677,0.3443,0.48521666666666674,1.4729428571428569,3.4462000000000006,4.5981428799817525,1.139240674143039,1.0942643159237333,0.8295166666666667
281,"Bazardo, Desi",P,S,L,19,72,20,92,42,25,51,34,83,32,0,0,0,49,16,40,40,56,23,94,12,65,16,100,61.9273333333333,0.33474214285714277,0.5507325000000001,1.5734000000000001,3.2800999999999982,4.589801920725143,-0.12712681025691971,0.3760141678787756,0.8854746428571428
54,"Beckwith, Brandon",P,S,L,21,26,76,94,61,45,48,51,58,82,43,58,14,67,37,7,39,72,18,77,31,71,22,88,124.96500000000013,0.3507033333333334,0.47932499999999983,1.535216666666666,3.3287899999999997,4.679098458769381,0.5334870945850219,0.052248001958986545,0.8300283333333333
88,"Bell, Viosergy",P,R,R,21,23,72,77,45,53,37,47,90,71,64,0,0,63,7,6,15,36,7,100,55,63,68,81,120.22309047619055,0.34529780952380945,0.45369666666666697,1.5146141666666666,2.460060000000001,4.458619868855184,0.7479893849163157,0.6171945533243379,0.7989944761904764
409,"Bergesen, Brent",P,S,R,21,24,67,5,18,27,62,68,58,43,51,29,0,37,29,45,8,28,10,83,8,45,50,72,99.7368333333334,0.43022000000000027,0.6084193333333335,2.0810500000000003,0.7481999999999996,6.63954031920172,-1.33446176009835,-3.8270446943070002,1.0386393333333337
69,"Bettis, Fritz",P,S,R,20,30,64,82,47,50,44,86,93,71,41,32,0,65,47,26,18,58,11,48,39,94,61,82,94.61341666666671,0.33300000000000013,0.42580833333333346,1.4515916666666664,1.9832583333333345,4.506278444954576,0.3976837202044814,0.5781333419847678,0.7588083333333335
46,"Beverlin, Lefty",P,R,R,20,22,96,70,64,56,32,83,80,68,63,36,0,68,71,38,39,24,9,59,49,51,29,72,142.87573333333347,0.3505716666666669,0.451635,1.5098866666666675,1.8265499999999995,4.84248231789589,0.46478635280313774,-0.08336800988792714,0.802206666666667
329,"Bibby, Rick",P,L,L,22,23,81,32,39,21,83,73,66,37,49,46,40,46,15,68,47,32,12,36,48,54,55,75,110.99750000000012,0.4277533333333335,0.57584,2.000166666666667,0.9991999999999996,6.352595307200988,-0.8867801800803494,-1.0410220803631522,1.0035933333333336
293,"Biddle, Mike",P,R,R,22,27,71,31,32,37,83,28,77,45,61,45,38,48,45,36,58,16,6,98,39,49,72,78,85.06283333333334,0.41326000000000024,0.53387,1.9944016666666666,0.9047999999999999,6.330676788339384,-1.068524556824569,-1.239818729504409,0.9471300000000002
55,"Bird, Tom",P,R,R,22,29,82,87,39,63,39,72,78,63,48,28,22,67,30,33,46,17,0,100,29,24,34,69,143.4942666666668,0.32855166666666663,0.44267749999999995,1.4305466666666666,2.575816666666667,4.191186166659635,0.986030252116383,1.46312334214687,0.7712291666666666
