Rank,Player,Pos,Bats,Throws,Age,Durability,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,OVR,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,Health,Speed,Patience,Temper,Makeup,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
478,"Adams, Cedrick",P,R,R,21,90,34,54,26,25,64,15,62,57,43,0,0,43,28,40,14,23,21,71,25,80,52,59,87.82640641661939,0.40931961656537147,0.5871002888756289,1.9173194191349747,1.7459420966450139,6.30392880239193,-0.8013925280065641,-6.6717625332729344,0.9964199054410003
383,"Adkinsson, Damian",P,L,L,22,64,22,56,38,46,74,51,69,70,0,0,0,48,44,0,51,27,5,76,24,78,64,74,43.49995379339798,0.3804098540724169,0.5083511172138768,1.7297058465276338,1.7597314813185325,5.523963639426096,-0.4186573879267848,-1.9366536992882983,0.8887609712862937
256,"Aldridge, Davy",P,S,R,18,26,88,29,49,62,96,44,51,48,43,0,0,53,9,14,38,11,39,52,30,27,43,40,73.39855888254942,0.3953486930295399,0.5227378327696537,1.8185777947351198,0.9763608647094973,5.981742102770935,-0.8651144856615588,-2.896085438439341,0.9180865257991936
151,"Altherr, Jack",P,R,R,21,39,90,85,25,38,32,49,69,70,43,51,13,59,45,14,47,50,0,56,20,85,32,79,155.8826163337227,0.36891281759817385,0.5305563806962058,1.6521727421286463,1.9980700005136527,5.4047973808738075,0.37623891382610164,-2.4626578665726577,0.8994691982943797
480,"Aquino, Giomar",P,L,L,18,82,22,64,17,27,30,38,80,62,0,0,0,43,42,46,19,87,7,84,27,81,21,87,48.3136117917515,0.39651867213149605,0.5578079453858773,1.835824978722839,1.8662959313424443,6.023098353040464,-0.36951805236903457,-4.569117193086603,0.9543266175173734
346,"Arcia, Yangervis",P,R,R,21,87,18,62,33,44,95,39,77,59,39,0,0,49,23,16,42,31,6,99,42,24,32,96,41.78732740975517,0.37654208553692736,0.5124103888778053,1.7048868753698962,1.9520917070930468,5.347067012265525,-0.3325007927130791,-2.240974388092506,0.8889524744147327
217,"Arnold, Albert",P,R,R,18,39,36,78,47,35,69,67,92,57,50,0,0,55,9,0,51,11,0,95,49,39,36,61,50.580250052870944,0.36346675770168624,0.4907051269523396,1.6167806643548366,2.2150917330863873,4.957182490888158,-0.03154735458601893,-0.6251486439339228,0.8541718846540258
481,"Bailey, Rogers",P,S,L,18,53,37,50,26,31,92,79,45,31,0,0,0,43,0,16,66,13,26,61,30,34,22,66,46.39945483244587,0.4226736513028518,0.5937397080360711,1.9961712973609993,1.3953501849449201,6.340723715387457,-0.6571345702940647,-6.679308174543104,1.0164133593389229
55,"Balaguert, Randy",P,L,L,22,34,83,86,58,62,33,39,64,56,33,38,0,68,40,28,40,75,0,76,6,91,45,91,156.42285567081797,0.3392137684113403,0.4718865764840145,1.467984909670071,2.0881988863737977,4.906180570810014,0.4723547290630451,0.6852574570264434,0.8111003448953549
198,"Barber, Vance",P,S,R,18,18,79,40,37,57,85,78,82,95,34,0,0,56,25,20,44,20,10,38,28,74,31,61,47.06448162538468,0.37501125796490664,0.4667112910294707,1.6802585830828058,1.742676309340319,5.252218939959102,-0.15271060110261384,-1.227252381344023,0.8417225489943774
