Player,Lvl,Frn,Pos,%,Age,Durability,Health,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,$,team,teamid,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
Alex Dorsey,ML,LAA,P,100,26,31,55,83,91,92,82,83,60,84,76,71,51,51,$2.1M  2055000,Anaheim Dirty Halos,6878,211.00062375798706,0.2898864234793116,0.35743557814595195,1.1455826884684903,3.3189754891803336,3.467975735546161,2.8580719099522405,5.706104623674835,0.6473220016252635
Alex Hardy,ML,LAA,P,91,22,24,63,46,63,52,71,29,81,80,70,56,21,0,$327K  327000,Anaheim Dirty Halos,6878,73.40342645707207,0.34016453138164915,0.42483430280076845,1.4666431342389774,1.8082884364778988,4.758768116688866,0.046618224329999076,0.33255326526429385,0.7649988341824177
Andre Capuano,RL,LAA,P,100,19,55,81,21,49,24,25,34,43,56,52,28,0,0,$8K  7650,Anaheim Dirty Halos,6878,50.37588732960134,0.41729036678349274,0.5889843577470163,1.9673675371542823,1.326140830316944,6.5279496708643325,-0.7033203334481821,-6.715554592786016,1.006274724530509
Bart Fogg,HiA,LAA,P,100,24,28,52,51,49,25,25,65,69,66,52,45,32,0,$27K  26250,Anaheim Dirty Halos,6878,40.46153021070248,0.41382259668535254,0.5736373986943807,1.9352190750219223,1.4860478447849634,6.204614803059203,-0.44921039571065813,-5.829526347057419,0.9874599953797332
Benji Montana,AA,LAA,P,100,23,69,66,30,31,21,28,76,43,62,57,26,0,0,$38K  37500,Anaheim Dirty Halos,6878,79.03664625431274,0.4273521901858628,0.5867516752127743,2.0260996673128298,0.9193777005484881,6.591924096479019,-2.0030062256726557,-8.302468920739278,1.0141038653986372
Bernie Bonifacio,ML,LAA,P,100,25,40,59,49,85,60,63,42,50,78,65,66,0,0,$378K  378000,Anaheim Dirty Halos,6878,84.25234771710971,0.32983011933049894,0.4397697412083199,1.4083853004812057,2.1628728669621577,4.536823387785271,0.0417261492375194,0.3073329622249044,0.7695998605388188
Blake Jones,AA,LAA,P,100,25,69,89,34,77,18,27,60,71,71,45,0,0,0,$38K  37500,Anaheim Dirty Halos,6878,65.95584608884263,0.39489917962888454,0.562732778672637,1.8209553233981564,2.121199792184737,5.739314629797043,-0.32016682624353743,-3.49429338834796,0.9576319583015216
Bob Rose,RL,LAA,P,100,19,75,93,17,52,30,30,20,22,58,44,27,0,0,$8K  7650,Anaheim Dirty Halos,6878,71.47657795122745,0.40820688776434483,0.5815317915476939,1.9143856770627474,1.6676547264359856,6.49387432930139,-0.9427969328314371,-4.323848632734569,0.9897386793120386
Brian Kuo,ML,LAA,P,100,26,58,77,49,66,54,62,87,78,81,75,64,0,0,$378K  378000,Anaheim Dirty Halos,6878,73.70121249178509,0.3456829716038157,0.43753454681467846,1.4976173069693623,2.1086083385405026,4.560940265530519,0.13054922849634396,-0.08905860348819045,0.7832175184184942
Carter Brigham,ML,LAA,P,100,27,78,88,43,67,59,80,88,81,81,89,0,0,0,$1.7M  1735000,Anaheim Dirty Halos,6878,100.86171410816051,0.32588561931652393,0.39112024608545715,1.3730340396322958,2.415411407688374,4.1723187186151165,0.5491989296006904,1.351467648669166,0.7170058654019811
