Rank,Player,Pos,Bats,Throws,Age,Contact,Power,LH,RH,BattingEye,BaseRunning,Bunt,Push/Pull,OVR,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,Durability,Health,Speed,Patience,Temper,Makeup,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xOPS,pcR,RLR,pos_adj,xWAR
475,"Aardsma, Christian",DH,S,R,18,13,39,31,6,54,13,30,32,35,12,20,18,13,0,82,88,39,57,77,68,0.2204461934484394,0.28735114389643013,0.3128473944865639,431.6450407067314,853.0333712566644,0.5278499999999999,46.709257847564494,71.87901012442205,-21.037374501013407,-2.8525351649656074,-4.536816741711514,-24.219763589920195,-9.591454749253966,0.600198538382994,0.0,14.388168023557713,-11.701417987059868,-4.578164231048413
145,"Aceves, Mateo",2B,S,R,18,49,23,41,5,50,59,69,25,57,79,66,58,53,25,95,48,73,77,69,38,0.22261569836255607,0.2865748635920188,0.27201682711978337,480.02649349346757,961.0533356815577,0.9263849999999998,42.309330437616644,68.41070072016994,-23.313718009017002,0.8584160681049248,-0.6157640337126584,-1.3591839109819994,0.0,0.5585916907118021,0.0,16.000883116448918,1.6478966661206407,-0.6214398586677229
356,"Acker, Ralph",DH,R,R,20,15,74,18,37,70,13,0,30,47,21,26,22,43,13,80,96,24,62,83,91,0.23210343736272357,0.30496131845874275,0.40978471000851147,467.4772874722257,930.3120361045003,0.4627399999999999,76.44730599462541,86.83192386790772,-4.3412591772093885,-3.0760381574823406,-2.527170943801453,-4.970194430787464,0.033267032570397745,0.7147460284672542,0.0,15.582576249074192,-12.761481976742118,-0.964194633876198
144,"Adams, Myron",C,L,R,22,36,44,14,61,58,56,29,48,59,18,21,84,70,55,87,82,41,79,0,90,0.24693835206170006,0.3127694124354403,0.35135984143314414,460.983513770625,903.6593923624605,0.8798099999999998,69.7324114154258,66.10639811951904,-18.355967255768938,-5.412880611441747,-1.2299788979148136,0.5711854741665626,0.7227874966894192,0.6641292538685845,-1.1679382839044568,15.366117125687499,4.648453664415949,-0.43853913364318114
107,"Additon, Les",1B,L,L,20,54,54,19,51,63,75,2,86,63,62,48,32,38,8,86,100,66,15,18,69,0.247828688569525,0.3163442927604472,0.38987114724057303,544.3898942936212,1039.2213836833835,0.6850300000000001,77.99212817224229,78.43814626793443,-19.00093460951002,-1.2016949596679927,1.679976128901019,4.663694200564401,0.0,0.7062154400010202,0.0,18.146329809787375,-8.909648351194988,-0.6352024788558827
117,"Alberto, Esteban",SS,R,R,19,6,30,47,16,55,50,78,8,62,91,80,95,88,29,100,72,51,75,38,97,0.21100142768345045,0.2728651784783495,0.2584394456013854,471.29056777991354,994.826059313491,0.86095,35.66491581330096,50.065152705219624,-48.652565261658914,-3.2496028323816706,2.8243231963462625,2.0104347379429126,0.07364628849518379,0.5313046240797349,0.0,15.709685592663785,5.117418000583801,-2.9294162272698174
2,"Alfaro, Will",SS,R,R,21,79,63,91,79,57,83,67,58,93,93,91,83,87,21,100,93,68,100,92,38,0.2762640062313188,0.3329718361952684,0.4400075525619954,663.5201477389783,1260.2181945182383,0.9806566666666658,100.91690655465258,100.23540627454457,-8.15377512698976,-1.0158172307512092,7.409500378279748,34.5485791668371,0.020102988967353498,0.7729793887572638,0.0,22.117338257965944,6.482603881266657,5.440521750392074
318,"Allen, Donatello",LF,L,L,22,51,10,48,31,15,67,69,40,49,89,82,47,51,3,72,72,74,57,39,14,0.2290913557909209,0.266026223969833,0.2526051922104665,431.4418164519593,865.3862653058022,0.9201099999999997,32.49215828940991,47.46308575803545,-55.87836421405842,1.6997939008235565,2.1536767635294227,8.592472318413037,0.3156017932374644,0.5186314161802995,0.0,14.381393881731977,-4.451575438815855,-3.5937868390441507
194,"Alvarez, Armando",3B,R,R,22,5,68,50,51,47,34,0,21,56,58,72,90,74,23,84,77,25,45,62,19,0.23338675226559774,0.2852566620121094,0.3848664950138801,467.92824427969754,948.7433979604393,0.8192299999999999,67.30328605666777,74.59480807807276,-16.73548545546693,-3.1500155897238153,-0.7157749303450276,-19.619636382555193,0.0,0.6701231570259896,0.0,15.597608142656584,1.6267890911530167,-2.245669819717657
371,"Alvarez, Julio",1B,R,R,21,30,10,14,10,40,43,82,46,46,72,63,57,39,0,100,100,43,58,14,57,0.21267772301241467,0.2699409964891114,0.21579188044600522,480.6442396091297,1013.8548843804747,0.8164066666666665,21.83501030731035,40.17528855620075,-57.477872880938584,-3.67194334356677,-3.0404866453514283,-2.028108313940481,0.05639684082570099,0.48573287693511663,0.0,16.021474653637657,-8.69217150531957,-5.6289675494165134
