Rank,Player,Pos,Bats,Throws,Age,Contact,Power,LH,RH,BattingEye,BaseRunning,Bunt,Push/Pull,OVR,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,Durability,Health,Speed,Patience,Temper,Makeup,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xOPS,pcR,RLR,pos_adj,xWAR
141,"Abraham, Manny",2B,R,R,18,24,53,37,35,49,42,42,20,60,81,67,76,70,13,88,47,68,68,70,64,0.2282799600850981,0.2867599945255107,0.35787668129266714,478.21700377576053,940.1035787090659,0.9046999999999997,62.6924559758559,72.40353928255664,-47.17417209866813,0.1303563319668084,0.12502208363429693,0.2754813262554371,0.0,0.6446366758181779,0.0,15.94056679252535,1.6119745862638304,-2.9446519355552807
105,"Acosta, Maicer",LF,R,R,21,70,22,52,47,32,78,93,65,63,87,53,50,52,0,88,46,93,76,16,74,0.25133551102066004,0.3011619131163652,0.3253838779150007,521.8528507668525,975.9797808006406,0.8541899999999998,62.321611955464085,66.55610929625678,-70.55335935521549,8.913587028135034,2.7752801815953005,1.6623134604535295,0.0,0.6265457910313659,0.0,17.39509502556175,-5.0204721234600855,-4.797877051122266
166,"Almadova, Danry",DH,R,R,20,59,36,46,17,39,58,58,33,58,55,29,45,47,17,88,91,81,54,10,74,0.23292741398657646,0.29044068072330864,0.33076313992934625,496.29563451651484,956.7939337324351,0.775594,57.22402211929924,60.99543641144216,-114.55331299734398,2.146102188902669,-1.1875376961352948,-2.173834461705487,-0.10324876946082671,0.6212038206526549,0.0,16.543187817217163,-11.48415215385296,-11.038693931528982
250,"Alston, Terrell",SS,R,R,22,49,19,27,4,22,55,49,65,54,84,68,72,82,12,93,99,62,67,35,39,0.2070947355616213,0.25253248180436577,0.23429001219461268,461.8835706990212,980.4353625569493,0.8483950000000003,24.094513977696387,35.87504928235859,-155.1858503700059,-2.194944524563459,-0.16143221870212968,0.8538680411900748,0.0,0.4868224939989785,0.0,15.396119023300708,5.043391782700356,-13.716214111420232
15,"Amaral, Raul",2B,R,R,18,82,19,70,46,55,82,84,32,77,100,96,64,60,30,86,89,90,85,63,50,0.2557436479483702,0.3174196448365829,0.30757172569154734,559.5560144037008,1075.0794198401272,0.9876099999999994,63.6989555625992,77.23216542258143,-67.01482263538459,8.06789225097906,7.964285199664374,7.965594481057654,0.0,0.6249913705281303,0.0,18.651867146790025,1.8434146430729204,-3.072681205787056
427,"Andrews, Clarence",1B,S,R,18,18,37,35,25,28,29,29,35,46,60,38,63,50,5,91,72,52,61,77,70,0.22113929121647288,0.26854585773667666,0.3080578145245817,451.9525838792324,917.5084773804992,0.8722049999999996,43.85920820856021,51.469833114984226,-111.34487936544042,-3.120642991662773,-0.7613051229451615,-3.171668319361974,0.0,0.5766036722612584,0.0,15.065086129307748,-7.866156356142826,-11.131042653607203
7,"Andrews, Denny",SS,R,R,19,59,76,63,64,64,70,30,45,82,74,76,81,89,0,84,89,91,44,61,89,0.2588238385411519,0.32333556578237277,0.46373190291143573,594.6911289636046,1082.7323957253247,0.9664999999999992,101.48551136039218,102.79065567340179,-3.642488929239744,6.515798770192641,1.301059553906424,1.3624016756372057,0.0,0.7870674686938085,0.0,19.823037632120155,5.5696110891220405,2.986234470429764
387,"Andriese, Marty",LF,R,R,19,24,56,31,11,50,30,4,25,48,47,63,50,65,12,74,71,50,63,87,67,0.21486784407487744,0.275718959602972,0.34163378789517174,419.7239339593798,843.2757865022868,0.9276159999999996,53.088417460960535,73.31800584295591,-44.797456,-3.3128911191705637,-2.2743110497120242,-0.6723348164877168,0.0,0.6173527474981437,0.0,13.990797798645993,-4.337838407933575,-3.943874225373573
405,"Astacio, Yuniesky",1B,R,R,18,42,31,35,17,48,53,49,36,47,57,45,32,43,0,81,85,36,62,55,49,0.2271065356417177,0.2884073395175726,0.2939316270886495,449.7710413141176,898.8232516478747,0.8799800000000007,46.51911563483785,63.37120338446469,-81.89450371644057,-5.432903150377664,-0.9567517733071496,-1.0747381427734268,0.0,0.5823389666062221,0.0,14.992368043803921,-7.705960662276018,-8.1756334084921
96,"Atkins, Steven",DH,L,R,19,57,77,54,63,77,42,21,26,64,7,31,63,67,20,70,100,43,62,33,69,0.26650944263799986,0.3423232420197727,0.4681277922484135,513.3534210342914,917.1300197392702,0.6002899999999998,105.8922909080798,88.14447745212111,-5.943774587694225,-5.133520940562408,-0.11491602915677841,-0.08876918294124525,0.34230234761941786,0.8104510342681862,0.0,17.111780701143047,-11.00807636861264,-0.5102339428562555
100,"Baker, Maverick",DH,R,R,20,85,0,61,28,38,63,83,44,64,81,80,31,60,17,89,81,80,79,7,60,0.24328336713778226,0.2971634785909198,0.24369975463647556,528.3482498899102,1053.4883820135146,0.8984899999999993,42.444110393750215,54.59627725680767,-125.50191386419917,2.511929722690152,2.437030160598159,1.8021155632720078,0.0,0.5408632332273954,0.0,17.611608329663675,-12.644750812919414,-11.713884488850832
194,"Bale, Steve",1B,S,L,20,22,66,45,43,51,27,24,66,57,55,35,62,58,26,93,90,39,32,82,36,0.2366790178551402,0.2958314538388301,0.39593551733396937,505.75790233165026,1014.8987664300948,0.6993866666666666,73.17499684687259,80.24567997091587,-16.22779751826662,-3.7170085820979697,0.5816470359578492,0.6381908802625585,0.0,0.6917669711727994,0.0,16.85859674438834,-8.701121111369126,-1.1237187844120682
182,"Barbato, Gregg",C,R,R,22,28,80,59,61,71,23,15,22,57,16,19,66,62,49,71,80,21,57,39,48,0.25759269659006157,0.3283361432469714,0.45724663952654165,450.53933308646083,848.696221716702,0.8212799999999999,98.08430111337707,85.27890173058125,-5.269726887991535,-4.045623709506134,-0.10069094155599488,-1.4635934246838944,-2.3541185029030305,0.7855827827735131,-2.6643442079995503,15.017977769548693,4.365721305127067,0.5987324134696215
297,"Barker, Lonnie",1B,R,R,19,45,43,35,32,42,71,38,25,52,38,41,38,49,17,94,46,36,80,60,55,0.23812086299117224,0.29350742116276535,0.3381231145139253,489.29990489128977,970.3986341506243,0.8072099999999997,58.99186029249589,64.8024137480875,-74.75908856182144,-5.0043844712344905,-0.21736169523151824,-0.9510994002750683,0.0,0.6316305356766907,0.0,16.309996829709657,-8.319604202251579,-7.3298505494990165
