Player,Lvl,Frn,Pos,%,Age,Durability,Health,Contact,Power,LH,RH,BattingEye,BaseRunning,Speed,Range,Glove,ArmStrength,ArmAccuracy,PitchCalling,$,team,teamid,xAVG,xOBP,xSLG,xPA,xInn,xFld%,xOPS+,xwRC+,xBtR,xBsR,xFRAA,xFR,xcFR,xOPS,pcR,RLR,pos_adj,xWAR
Achilles Kelly,---,LAA,CF,100,31,81,90,38,39,61,53,55,90,87,83,76,52,62,16,$343K  343000,Anaheim Dirty Halos,6878,0.2491112500000002,0.31819116666666664,0.35103716666666657,515.9780000000001,975.7359389066696,0.9636777861821252,79.61256603698068,83.84516965578938,-23.663912871970172,9.257347722703118,1.479461394959466,2.2996756894076396,-0.020568534663017876,0.6692283333333332,0.0,17.199266666666666,1.6730725975765939,0.6818878686379666
Adam Brown,ML,LAA,3B,100,35,81,74,64,54,79,92,83,80,52,60,73,42,59,3,$4.8M  4800000,Anaheim Dirty Halos,6878,0.30568066666666655,0.37327333333333323,0.4488463333333332,583.2291666666667,1053.3845294713974,0.9539229764583064,112.2758795011798,106.04101806606863,14.846110667011168,-4.158911199532325,1.3320443252804095,3.136132234017293,-0.012506257263192991,0.8221196666666664,0.0,19.440972222222225,1.8062148996423137,3.53474817254476
Adron Philips,RL,LAA,CF,100,19,67,72,26,0,14,21,48,38,79,63,47,45,39,0,$8K  7650,Anaheim Dirty Halos,6878,0.2034799999999999,0.305995,0.24929999999999997,546.0275,724.0237710475922,0.874421022876641,42.170502724166234,42.64210976877339,-60.89919871459509,1.365197533027765,1.8149158036131225,-0.751748752299121,-0.016495866155005173,0.555295,0.0,18.200916666666668,1.241467371480782,-4.116591878427053
Al DeSoto,LoA,LAA,C,100,20,60,63,36,41,25,31,19,33,47,15,26,63,56,59,$27K  26250,Anaheim Dirty Halos,6878,0.23037833333333332,0.2764,0.31829666666666667,427.395,656.4884451627731,0.9432970476513766,65.47585656192118,71.17760128092513,-22.586355742658366,-3.433968902541538,-1.9968494027700894,-4.93253368264623,-1.661651703983521,0.5946966666666667,-0.04017593302041542,14.2465,3.3769981747056232,-1.347511951173353
Alberto Prado,AAA,LAA,CF,100,28,90,99,55,41,66,15,26,70,98,87,80,54,62,17,$55K  54500,Anaheim Dirty Halos,6878,0.23458333333333342,0.2919850000000002,0.3672066666666665,469.4,1020.5432356595993,0.9669076070819882,69.15138169374164,74.14304913542895,-31.30399759198174,6.5624431415547315,2.937960609993149,3.41645701421545,-0.021076356559815664,0.6591916666666667,0.0,15.646666666666667,1.7499026674547313,-0.39595529223833886
Alton Serrano,HiA,LAA,2B,100,22,78,74,27,24,26,19,47,77,54,61,55,74,65,12,$27K  26250,Anaheim Dirty Halos,6878,0.2159066666666666,0.2994825000000001,0.31561500000000003,483.4433333333334,813.6009026765823,0.9690285020204298,64.17112978437969,62.37057789138496,-27.655511836104353,-2.9118160106283555,-0.169294197274948,-1.861304169477527,0.004377193394749858,0.6150975000000001,0.0,16.114777777777782,1.3950632761944144,-1.5036609340156573
Arthur Hall,AAA,LAA,1B,100,29,89,88,23,49,25,30,52,73,52,56,38,57,53,20,$55K  54500,Anaheim Dirty Halos,6878,0.21786833333333339,0.31467666666666677,0.37020333333333333,503.72641025641025,919.1201056241989,0.8357085248568036,89.4036425906461,84.10802843628421,-3.933653500632596,-3.392639077391069,0.14825091659762177,0.3356247685990618,-0.02514538660159618,0.6848800000000002,0.0,16.790880341880342,-7.8799734707150115,0.19354037927194462
Billy Marimon,AAA,LAA,SS,100,30,73,90,48,21,20,58,30,69,57,79,71,86,81,8,$55K  54500,Anaheim Dirty Halos,6878,0.23623083333333336,0.27616300000000005,0.27890708333333325,453.95941269841273,867.3217030763626,0.9667522717803112,46.808899028262296,52.00662982066383,-37.50812450360231,-3.1874355430782004,-2.4041880212029425,0.12771664323119938,0.009842216070492132,0.5550700833333333,0.0,15.131980423280424,4.461531394425733,-2.113997246988802
Bo Sinclair,ML,LAA,SS,100,27,87,76,71,70,80,62,47,60,73,78,81,85,81,14,$7.5M  7500000,Anaheim Dirty Halos,6878,0.2613775,0.31734833333333345,0.4349966666666667,629.6091904761905,1092.5716078281403,0.9663434524031758,100.5209236686499,101.17409676139678,-2.0167908097962863,0.6775110077898552,2.164011553406311,4.562045451439916,0.02755506277130473,0.7523450000000002,0.0,20.98697301587302,5.620224320103602,3.0065539572092406
Bob Wainhouse,AA,LAA,C,100,23,63,63,66,38,29,19,19,48,12,27,38,75,64,83,$38K  37500,Anaheim Dirty Halos,6878,0.22560000000000002,0.2728299999999998,0.31685000000000013,427.34,677.3342800140381,1.0072570023690128,64.2710117795314,65.12092166890366,-22.429938805294185,-4.063256804493294,-0.5567357563312951,4.56717786556111,1.8858888259088995,0.58968,4.962379162251422,14.244666666666665,3.4842298354631587,0.07713014023023392
Brent Ruebel,LoA,LAA,CF,100,21,74,84,12,4,9,23,39,60,79,59,41,42,34,2,$27K  26250,Anaheim Dirty Halos,6878,0.1926775,0.2724983333333333,0.2636719999999999,504.7116666666667,758.4530165791512,0.4977544198306644,36.197267954918054,42.08679728045223,-53.579326044639444,2.2837578639388743,-1.7460927913773674,-0.677202104633827,-0.02514538660159609,0.5361703333333332,0.0,16.823722222222223,1.3005024289765965,-3.411585823015019
Chico Tatis,ML,LAA,SS,100,26,95,78,42,63,5,56,27,68,99,87,88,88,88,0,$5.0M  5000000,Anaheim Dirty Halos,6878,0.23459000000000008,0.2736621428571429,0.37548000000000026,516.2120833333333,1096.7864530086517,0.9709021306687236,70.51624952066233,77.470643448977,-26.496118369847462,7.7005189767563476,3.5354926192811256,7.967694439717923,0.00984221607049223,0.6491421428571431,0.0,17.207069444444446,5.641905622472488,1.2116004279804773
Chris Duran,LoA,LAA,SS,100,21,88,57,22,13,1,8,13,44,52,58,48,58,54,4,$27K  26250,Anaheim Dirty Halos,6878,0.19186000000000006,0.2585713333333334,0.24224,453.1603333333333,811.1463783979416,0.8676078606250093,36.748560735028086,39.183352129963396,-56.63580343219938,-2.934573113550473,-2.6635737469244685,-4.695866258772944,0.02195916535568049,0.5008113333333334,0.0,15.105344444444444,4.172563674886531,-4.534362169412448
Cliff Ross,HiA,LAA,2B,100,21,82,99,29,10,55,33,45,60,87,87,65,59,50,12,$27K  26250,Anaheim Dirty Halos,6878,0.23496099999999995,0.3072858333333335,0.2870733333333334,497.99466666666666,920.6406280994415,0.9635506028230232,55.64008782046163,67.11497071251269,-39.30376186665943,3.2270365722060874,1.5958867138028014,2.725786278837807,-0.02056853466301826,0.5943591666666669,0.0,16.599822222222222,1.578601900033336,-1.5292337008852113
Cody Starr,LoA,LAA,1B,100,21,84,64,20,28,23,17,32,47,40,47,33,33,32,1,$27K  26250,Anaheim Dirty Halos,6878,0.21258999999999986,0.2718299999999999,0.3504750000000001,467.9833333333333,808.6296089291573,0.7176275049454485,72.70364897098894,61.41824613892459,-24.702703562084626,-3.642838466678538,-3.155479082747957,-5.274047717614802,-0.01780364073710475,0.622305,0.0,15.599444444444444,-6.93269554980416,-2.5149901273125197
Cory Cooper,AAA,LAA,DH,100,20,85,39,67,71,50,70,59,26,28,1,22,68,52,54,$55K  54500,Anaheim Dirty Halos,6878,0.25788911904761913,0.3249722857142857,0.44886771428571437,448.68916666666667,946.3997156620026,0.7795181498601895,105.8307008452546,95.49931686340855,0.4215703138559151,-5.416134998618046,0.024838039982303977,0.0,-3.241892780601724,0.7738400000000001,0.0,14.956305555555556,-12.98216345215367,-0.3044275807138737
