Player,Lvl,Frn,Pos,%,Age,Durability,Health,Stamina,Control,vLH,vRH,Velocity,Groundball,Pitch1,Pitch2,Pitch3,Pitch4,Pitch5,$,team,teamid,xIP,xOBP,xSLG,xWHIP,xSO/BB,xFIP,xWARd,xWARs,xOPS
Addison Acosta,AAA,ALB,P,100,28,18,92,87,80,75,60,35,89,75,70,23,44,21,$64K  64000,Albuquerque Gladiators,2815,126.65487380952396,0.3326508333333333,0.42975999999999975,1.4153404761904762,1.9681533333333328,4.399162396363268,0.7154746111781486,0.7540508032940673,0.762410833333333
Adrian Barkett,RL,ALB,P,100,21,19,62,66,33,20,21,45,27,57,54,23,29,12,$8K  7650,Albuquerque Gladiators,2815,100.8451333333334,0.4277200000000001,0.5879466666666668,2.1709000000000023,0.9244999999999997,6.924632752562747,-1.4732096196247477,-4.425973840286138,1.015666666666667
Al Roque,AA,ALB,P,100,25,84,94,48,48,44,45,85,53,81,66,0,0,0,$38K  37500,Albuquerque Gladiators,2815,76.40168333333331,0.38065940476190474,0.49742749999999963,1.8192400000000009,1.7286452380952377,5.229564157753422,-0.26516852864625917,-1.2614424202709862,0.8780869047619044
Alan Price,ML,ALB,P,100,25,27,71,59,81,74,75,32,89,86,74,53,70,50,$360K  360000,Albuquerque Gladiators,2815,105.11133333333339,0.29817000000000016,0.36454000000000003,1.1938400000000002,2.1712149999999992,3.9374599554189182,0.5142263052475607,2.7516586889825305,0.6627100000000001
Alton Drew,AAA,ALB,P,100,26,17,59,89,79,64,70,40,48,73,68,54,46,0,$59K  59000,Albuquerque Gladiators,2815,124.0313666666668,0.32562416666666666,0.43903600000000004,1.3939183333333336,2.02719,4.478114015629123,0.6389507238394256,1.4808779113123578,0.7646601666666667
Andre Lee,AAA,ALB,P,100,25,40,75,49,71,65,61,83,43,79,67,51,0,0,$55K  54500,Albuquerque Gladiators,2815,73.13699999999999,0.34252821428571445,0.4395600000000002,1.4968000000000001,2.337683333333333,4.527812617841881,0.26026291104112015,0.2708849939609363,0.7820882142857146
Aneury Velazquez,RL,ALB,P,100,20,66,89,34,62,24,37,68,60,65,58,0,0,0,$8K  7650,Albuquerque Gladiators,2815,77.85546666666663,0.37157,0.4961374999999999,1.8466583333333322,2.1884499999999987,5.184952971458887,-0.6150936572172877,-1.6030910184294276,0.8677074999999999
Bobby Cintron,HiA,ALB,P,100,24,75,74,20,79,34,38,17,35,65,63,0,0,0,$27K  26250,Albuquerque Gladiators,2815,61.11299999999999,0.3691041666666668,0.4893559999999997,1.677775,2.408674999999999,5.385789135993116,-0.5556061881105581,-1.7629400159693938,0.8584601666666665
Bradley Williams,LoA,ALB,P,100,24,82,74,23,60,22,27,34,33,68,41,0,0,0,$27K  26250,Albuquerque Gladiators,2815,69.8518,0.37990066666666655,0.5788099999999999,1.8617133333333322,1.6538880952380959,5.564608621106169,-0.5842928610285384,-2.315718382935195,0.9587106666666665
Charles Wunsch,RL,ALB,P,100,21,87,74,31,56,23,21,76,34,49,47,0,0,0,$8K  7650,Albuquerque Gladiators,2815,118.80126666666678,0.38947,0.5987,2.0079749999999983,2.086000000000001,5.444248694721035,0.11800551720398428,-1.7753886023535292,0.98817
